,Name,Artist, Link
0,Sick Thoughts,Lewis Blissett, https://www.youtube.com/watch?v=gFV411Z075s
1,Mo Bamba,Sheck Wes,https://www.youtube.com/watch?v=iRNoQqsEKDo
2,MONTERO (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=nsXwi67WgOo
3,Rasputin,Majestic,https://www.youtube.com/watch?v=x5Oag4hISgU
4,Paparazzi,Kim Dracula,https://www.youtube.com/watch?v=ih_tHQUKTZA
5,Goodbye (feat. Lyse) - Slow Version,Feder,https://www.youtube.com/watch?v=jBX7T2iG8zg
