,Name,Artist,Link
0,Get You The Moon (feat. Snøw),Kina,https://www.youtube.com/watch?v=eRnIks59Pjw
1,It's You,Ali Gatie,https://www.youtube.com/watch?v=FOiJKl6EHBk
2,Reckless,Madison Beer,https://www.youtube.com/watch?v=VOKXtuEACkU
3,Heartbreak Anniversary,Giveon,https://www.youtube.com/watch?v=cryLpOIPCP8
4,Therapy,Tasty,https://www.youtube.com/watch?v=3SR_C0oy9bE
5,7 Years,Lukas Graham,https://www.youtube.com/watch?v=Q0bnAmfGQC8
6,Lonely (with benny blanco),Justin Bieber,https://www.youtube.com/watch?v=D9qrObYGyvg
7,Moonlight,Ali Gatie,https://www.youtube.com/watch?v=Qbs8zzkpjpU
